frequency,magnitude_A,magnitude_T,magnitude_G,magnitude_C
0.0,0.20534131978504366,0.22642905017494805,0.29049175555287604,0.27773787448713233
0.03333333333333333,0.00025655189266329467,0.000497849997774471,0.00021256965810788892,0.00041541600551757955
0.06666666666666667,0.0002682862297872445,0.0003836520400142092,4.7150888903922116e-05,0.00034363328482022246
0.1,0.0002505156569281478,0.00025434342138701364,0.0001765541017683982,0.00018864219266034415
0.13333333333333333,0.00022798676876631697,0.0002386705365474826,9.451054856027091e-05,0.00020446429868033127
0.16666666666666666,0.00016628768755287172,0.00018691223288267047,0.0001153214613274106,0.00011768893134135992
0.2,3.2774778181061176e-05,0.00016057653889668447,0.00024717267298157713,0.00020747902175873557
0.23333333333333334,0.00011075155344428244,7.53801092825319e-05,0.00015685307375560084,0.00010918673633258366
0.26666666666666666,0.00013628121030994343,0.00014651194970764471,0.00016078005608429258,0.00014878321188555024
0.3,7.115987254284515e-05,0.0001500515922602557,0.00019310204716797892,2.5762191545807866e-05
0.3333333333333333,0.0002878028076244352,0.00021135167531458274,0.00035416019155206366,0.00016943164357596368
0.36666666666666664,0.00013352551825030165,8.48076133482238e-05,0.00023334008060875596,0.00012657813726672237
0.4,0.00010081295852610291,0.00022007526168545005,0.0001612209292177963,0.00022193953697392685
0.43333333333333335,5.7662589055115643e-05,0.00022101313131982358,0.00013532153936667246,0.00013877043447501597
0.4666666666666667,0.00012509592843799235,0.00010539941669242603,0.0002496147427449172,0.00023431823738111942
0.5,0.00011015046292522553,8.006005046932904e-05,0.00014295661657752015,0.00017304702903346106
