frequency,magnitude_A,magnitude_T,magnitude_G,magnitude_C
0.0,0.20532649855635432,0.2266231509060533,0.29036179129380635,0.27768855924378605
0.03333333333333333,0.00029886009767561843,0.0007207266170204946,0.00019636965171406336,0.0004568685942821559
0.06666666666666667,0.0002633298342249756,0.0005889015201550517,0.00010690148732899674,0.0003799264652327569
0.1,0.00027651485201313426,0.00029062738597166853,0.00020101188192184438,0.00013720792004191844
0.13333333333333333,0.0002599763085488825,0.0003458960562761071,0.0002929297873175131,0.0001990874476033975
0.16666666666666666,0.00018812626139062436,0.00034296388022691957,0.00018043649882738122,0.00016099995470594423
0.2,7.464391322176783e-05,0.00011105073743633396,0.0002453239498333297,0.00017210787473429355
0.23333333333333334,6.539949665302318e-05,0.00012785014253009267,8.127309807266928e-05,3.1505531909424415e-05
0.26666666666666666,0.00020332436169263922,0.00027449653906528606,0.0002516813105766582,8.424687203916494e-05
0.3,0.00019629870098017494,9.338277579957493e-05,0.0002935730156793945,0.00015757441905833134
0.3333333333333333,0.003310767512773896,0.0047540748839105225,0.005851488407353941,0.0035202084799692583
0.36666666666666664,2.5014781294835548e-05,0.00018294904425312147,0.0001201302168186509,0.0001635706057320733
0.4,0.00027475435773237334,0.00012183046549260234,0.00023412728351380346,0.00022439060200409326
0.43333333333333335,0.00022084851177087155,0.0001183108781180268,6.507893466157923e-05,0.0002822461672469992
0.4666666666666667,0.00015969674427794927,0.00011568304947456295,0.00012493534233367447,0.00015492879196092555
0.5,0.00023409002526649422,1.7488860356336863e-05,1.8031992665553293e-05,0.0002696108782883992
